2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando carga de fato_analise_credito e execução do Motor de Crédito (run_id=FATO_ANL_20260910_154543).
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=00001180000126 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=00001180000126 SEGMENTO_PD=CGRUPO PD_BASE=0.99518 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=00001180000126 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=00001180000126 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=00001180000207 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=00001180000207 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=E SCORE_TOTAL=None PD_FINAL=0.1 METODO=CLAMP
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=00350763000162 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=00350763000162
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=00350763002297 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=00350763002297 SEGMENTO_PD=CGRUPO PD_BASE=0.017464 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=00350763002297 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=00350763002297 SEGMENTO_PD=CGRUPO PD_BASE=0.712804 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | [CNPJ: 01105558000102] Falha no cálculo (Insumo Inválido): Comercializadora sem TIPO_COMERCIALIZADORA válido.
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02691745000170 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=02691745000170
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02691745000170 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=02691745000170
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02691745000170 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=02691745000170
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02691745000170 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=02691745000170
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02691745000170 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=02691745000170
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02916265037837 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=02916265037837 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=B SCORE_TOTAL=None PD_FINAL=0.005 METODO=CLAMP
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=02998301000181 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=02998301000181 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03358698000100 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=03358698000100
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03538572000117 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03538572000117 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03631957000124 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=03631957000124
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03631957000124 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03631957000124 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03631957000124 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03631957000124 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03780401000108 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=03780401000108
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03780401000108 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=03780401000108
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03780401000108 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03780401000108 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03780401000108 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03780401000108 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=A SCORE_TOTAL=None PD_FINAL=0.005 METODO=FIXED_PD
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03780401000108 SEGMENTO_PD=CGRUPO
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | PD ajustada calculada com sucesso. CNPJ=03780401000108 SEGMENTO_PD=CGRUPO PD_BASE=0.005 RATING_FINAL=B SCORE_TOTAL=None PD_FINAL=0.005 METODO=CLAMP
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=03926572000194 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo das notas quantitativas CPURA. CNPJ=03926572000194
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Notas quantitativas CPURA calculadas. CNPJ=03926572000194 NOTA_PD=A NOTA_FCO_ROL=A NOTA_ROE=A NOTA_ROA=A
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando score qualitativo CPURA. CNPJ=03926572000194
