2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [45/1329] CNPJ 00727465000149 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [46/1329] CNPJ 00729422000100 -> CACHE (SUCESSO, 91d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [47/1329] CNPJ 00750846000149 -> CACHE (SUCESSO, 140d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [48/1329] CNPJ 00767659000178 -> CACHE (SUCESSO, 233d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [49/1329] CNPJ 00776574000660 -> CACHE (SUCESSO, 164d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [50/1329] CNPJ 00807422000173 -> CACHE (SUCESSO, 64d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [51/1329] CNPJ 00822488000132 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [52/1329] CNPJ 00829352000154 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [53/1329] CNPJ 00831245000160 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [54/1329] CNPJ 00863529000139 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [55/1329] CNPJ 00868626000114 -> CACHE (SUCESSO, 226d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [56/1329] CNPJ 00869496000134 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [57/1329] CNPJ 00890837000153 -> CACHE (SUCESSO, 338d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [58/1329] CNPJ 00893913000265 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [59/1329] CNPJ 00899825000190 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [60/1329] CNPJ 00931787000105 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [61/1329] CNPJ 00979768000159 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [62/1329] CNPJ 00993264000193 -> CACHE (SUCESSO, 43d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [63/1329] CNPJ 00993264008097 -> CACHE (SUCESSO, 104d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [64/1329] CNPJ 01015553000180 -> CACHE (SUCESSO, 338d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [65/1329] CNPJ 01019449000164 -> CACHE (SUCESSO, 174d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [66/1329] CNPJ 01069573000134 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [67/1329] CNPJ 01105236000155 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [68/1329] CNPJ 01125487000100 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [69/1329] CNPJ 01152790000193 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [70/1329] CNPJ 01191198000109 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [71/1329] CNPJ 01198813000109 -> CACHE (SUCESSO, 84d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [72/1329] CNPJ 01203549000227 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [73/1329] CNPJ 01225953000110 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [74/1329] CNPJ 01257995000133 -> CACHE (SUCESSO, 30d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [75/1329] CNPJ 01261681000104 -> CACHE (SUCESSO, 9d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [76/1329] CNPJ 01274980000183 -> CACHE (SUCESSO, 167d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [77/1329] CNPJ 01304124000123 -> CACHE (SUCESSO, 121d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [78/1329] CNPJ 01304124001790 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [79/1329] CNPJ 01304136000158 -> CACHE (SUCESSO, 273d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [80/1329] CNPJ 01333984000195 -> CACHE (SUCESSO, 196d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [81/1329] CNPJ 01354988000150 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [82/1329] CNPJ 01377961000182 -> CACHE (SUCESSO, 175d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [83/1329] CNPJ 01397555000181 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [84/1329] CNPJ 01417701000193 -> CACHE (SUCESSO, 316d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [85/1329] CNPJ 01445875000160 -> CACHE (SUCESSO, 72d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [86/1329] CNPJ 01485633000108 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [87/1329] CNPJ 01525323000161 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [88/1329] CNPJ 01581464000100 -> CACHE (SUCESSO, 149d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [89/1329] CNPJ 01594992000195 -> CACHE (SUCESSO, 99d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [90/1329] CNPJ 01618551000267 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [91/1329] CNPJ 01682147000171 -> CACHE (SUCESSO, 171d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [92/1329] CNPJ 01691944000204 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [93/1329] CNPJ 01693497000133 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [94/1329] CNPJ 01712320000137 -> CACHE (SUCESSO, 223d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [95/1329] CNPJ 01715975000169 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [96/1329] CNPJ 01785345000160 -> CACHE (SUCESSO, 106d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [97/1329] CNPJ 01794540000157 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [98/1329] CNPJ 01831188000182 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [99/1329] CNPJ 01886356000137 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [100/1329] CNPJ 01912239000109 -> CACHE (SUCESSO, 14d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [101/1329] CNPJ 01947943000199 -> CACHE (SUCESSO, 10d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [102/1329] CNPJ 01966329000174 -> CACHE (SUCESSO, 147d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [103/1329] CNPJ 01974675000102 -> CACHE (SUCESSO, 149d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [104/1329] CNPJ 02081239000169 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [105/1329] CNPJ 02103847000127 -> CACHE (SUCESSO, 184d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [106/1329] CNPJ 02122913000106 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [107/1329] CNPJ 02135888000103 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [108/1329] CNPJ 02163440000195 -> CACHE (SUCESSO, 79d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [109/1329] CNPJ 02179949000126 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [110/1329] CNPJ 02202020000170 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [111/1329] CNPJ 02224840000163 -> CACHE (SUCESSO, 73d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [112/1329] CNPJ 02227579000155 -> CACHE (SUCESSO, 150d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [113/1329] CNPJ 02248827000144 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [114/1329] CNPJ 02266644000151 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [115/1329] CNPJ 02279324000136 -> CACHE (SUCESSO, 71d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [116/1329] CNPJ 02302100000106 -> CACHE (NAO_ENCONTRADO, 8d/30d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [117/1329] CNPJ 02305606000160 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [118/1329] CNPJ 02332686000143 -> CACHE (SUCESSO, 178d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [119/1329] CNPJ 02335262000132 -> CACHE (SUCESSO, 188d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [120/1329] CNPJ 02341467000120 -> CACHE (NAO_ENCONTRADO, 8d/30d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [121/1329] CNPJ 02341494000101 -> CACHE (SUCESSO, 140d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [122/1329] CNPJ 02343359000197 -> CACHE (SUCESSO, 86d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [123/1329] CNPJ 02357251000153 -> CACHE (SUCESSO, 268d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [124/1329] CNPJ 02370462000126 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [125/1329] CNPJ 02446766000120 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [126/1329] CNPJ 02459413000164 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [127/1329] CNPJ 02460752000160 -> CACHE (SUCESSO, 315d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [128/1329] CNPJ 02468496000158 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [129/1329] CNPJ 02476067000122 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [130/1329] CNPJ 02476790000101 -> CACHE (SUCESSO, 84d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [131/1329] CNPJ 02497408000146 -> CACHE (SUCESSO, 239d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [132/1329] CNPJ 02501470000164 -> CACHE (SUCESSO, 70d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [133/1329] CNPJ 02513991000131 -> CACHE (SUCESSO, 136d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [134/1329] CNPJ 02529745000178 -> CACHE (SUCESSO, 119d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [135/1329] CNPJ 02529745000259 -> CACHE (SUCESSO, 297d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [136/1329] CNPJ 02560932000114 -> CACHE (SUCESSO, 330d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [137/1329] CNPJ 02561851000139 -> CACHE (SUCESSO, 63d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [138/1329] CNPJ 02562006000188 -> CACHE (SUCESSO, 86d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [139/1329] CNPJ 02583678000170 -> CACHE (SUCESSO, 181d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [140/1329] CNPJ 02591442000185 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [141/1329] CNPJ 02634644000167 -> CACHE (SUCESSO, 77d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [142/1329] CNPJ 02679497000141 -> CACHE (SUCESSO, 240d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [143/1329] CNPJ 02691745000170 -> CACHE (SUCESSO, 90d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [144/1329] CNPJ 02725300000163 -> CACHE (SUCESSO, 78d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [145/1329] CNPJ 02739182000304 -> CACHE (NAO_ENCONTRADO, 8d/30d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [146/1329] CNPJ 02740399000172 -> CACHE (SUCESSO, 87d/365d)
2026-09-10 15:45:17 | INFO | services.connectors.risk3_connector | [147/1329] CNPJ 02744832000148 -> CACHE (SUCESSO, 77d/365d)
