2026-08-14 14:36:46 | INFO | bdc.consumidores | Carregando Mapping de Consumidores: C:\Users\C807951\Desktop\BDC\ENTRADAS\control\mappings\mapping_fichas_consumidores.json
2026-08-14 14:36:46 | INFO | bdc.consumidores | Mapping de Consumidores carregado e validado com sucesso. Quantidade de registros: 49
2026-08-14 14:36:46 | INFO | bdc.consumidores | Iniciando carga dos layouts de consumidores.
2026-08-14 14:36:46 | INFO | bdc.consumidores | Layouts de consumidores carregados com sucesso. Quantidade: 3
2026-08-14 14:36:46 | INFO | bdc.consumidores | Carregando Regras de Qualidade de Consumidores: C:\Users\C807951\Desktop\BDC\ENTRADAS\control\quality\data_quality_rules_fichas_consumidores.json
2026-08-14 14:36:46 | INFO | bdc.consumidores | Regras de Qualidade de Consumidores carregado e validado com sucesso.
2026-08-14 14:36:46 | INFO | bdc.consumidores | Iniciando processamento de 0 fichas (0 normais, 0 reprocessamento).
2026-08-14 14:36:46 | INFO | bdc.consumidores | Faixas de PD carregadas com sucesso.
2026-08-14 14:36:46 | INFO | bdc.consumidores | Regras de transformação de PD carregadas com sucesso.
2026-08-14 14:36:46 | INFO | bdc.consumidores | Resumo do processamento: {'run_id': 'BDC_20260814_143646', 'arquivos_recebidos': 0, 'arquivos_normais': 0, 'arquivos_reprocessamento': 0, 'registros_silver': 0, 'documentos_classificados': 0}
